time,x,y,z,w
1,0.3,-0.34,-0.31,0.95
2,0.31,-0.35,-0.29,0.96
3,0.32,-0.35,-0.27,0.96
4,0.33,-0.36,-0.25,0.97
5,0.33,-0.36,-0.22,0.97
6,0.34,-0.37,-0.2,0.98
7,0.35,-0.37,-0.18,0.98
8,0.36,-0.37,-0.15,0.99
9,0.37,-0.38,-0.13,0.99
10,0.38,-0.38,-0.11,0.99
11,0.39,-0.38,-0.08,1.0
12,0.4,-0.38,-0.06,1.0
13,0.41,-0.38,-0.03,1.0
14,0.43,-0.38,-0.01,1.0
15,0.44,-0.38,0.01,1.0
16,0.45,-0.38,0.04,1.0
17,0.46,-0.38,0.06,1.0
18,0.47,-0.38,0.09,1.0
19,0.48,-0.38,0.11,0.99
20,0.49,-0.37,0.13,0.99
21,0.5,-0.37,0.16,0.99
